Line 1: KEYWORD_VOID -> empty
Line 18: PUNC_SEMICOLON -> ;;
Line 19: ERROR_INVALID_KEYWORD -> Wor
Line 19: IDENTIFIER -> character
Line 19: OP_ASSIGNMENT -> =
Line 19: CHAR -> 'B'
Line 19: PUNC_SEMICOLON -> ;;
Line 21: KEYWORD_IF -> Suppose
Line 21: PUNC_LPAREN -> (
Line 21: IDENTIFIER -> num
Line 21: IDENTIFIER -> equal_to
Line 21: INTEGER -> 3
Line 21: PUNC_RPAREN -> )
Line 22: PUNC_LBRACE -> {
Line 23: KEYWORD_OUTPUT -> show
Line 23: PUNC_LPAREN -> (
Line 23: STRING -> "Number is equal to 3."
Line 23: PUNC_RPAREN -> )
Line 23: PUNC_SEMICOLON -> ;;
Line 24: PUNC_RBRACE -> }
Line 25: KEYWORD_ELSE -> Suppose_else
Line 26: PUNC_LBRACE -> {
Line 27: KEYWORD_OUTPUT -> show
Line 27: PUNC_LPAREN -> (
Line 27: STRING -> "Number is not equal to 3."
Line 27: PUNC_RPAREN -> )
Line 27: PUNC_SEMICOLON -> ;;
Line 28: PUNC_RBRACE -> }
Line 30: KEYWORD_FOR -> Because_of
Line 30: PUNC_LPAREN -> (
Line 30: KEYWORD_INT -> Digit
Line 30: IDENTIFIER -> x
Line 30: OP_ASSIGNMENT -> =
Line 30: INTEGER -> 0
Line 30: PUNC_SEMICOLON -> ;;
Line 30: IDENTIFIER -> x
Line 30: OP_LESSER -> <
Line 30: INTEGER -> 5
Line 30: PUNC_SEMICOLON -> ;;
Line 30: IDENTIFIER -> x
Line 30: OP_ASSIGNMENT -> =
Line 30: IDENTIFIER -> x
Line 30: ANY ERROR -> +
Line 30: INTEGER -> 1
Line 30: PUNC_RPAREN -> )
Line 31: PUNC_LBRACE -> {
Line 32: KEYWORD_IF -> Suppose
Line 32: PUNC_LPAREN -> (
Line 32: IDENTIFIER -> x
Line 32: IDENTIFIER -> equal_to
Line 32: INTEGER -> 4
Line 32: PUNC_RPAREN -> )
Line 33: PUNC_LBRACE -> {
Line 34: KEYWORD_BREAK -> STOP
Line 34: PUNC_SEMICOLON -> ;;
Line 35: PUNC_RBRACE -> }
Line 36: KEYWORD_OUTPUT -> show
Line 36: PUNC_LPAREN -> (
Line 36: IDENTIFIER -> x
Line 36: PUNC_RPAREN -> )
Line 36: PUNC_SEMICOLON -> ;;
Line 37: PUNC_RBRACE -> }
Line 38: KEYWORD_RETURN -> give_out
Line 38: INTEGER -> 0
Line 38: PUNC_SEMICOLON -> ;;
Line 39: PUNC_RBRACE -> }
